country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation
Beoslavija,Nathan Oakley,http://blocgame.com/alliancestats.php?allianceid=1393,81k active personnel,0 ships,Second World War surplus,2 factories,Standard,last online 38 hours ago,rankings.php?subregion=saf,BAMF,$1256 million,alliancestats.php?allianceid=1393,Southern Africa,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=saf,27062 km 2,http://blocgame.com/stats.php?id=60753,320 Mbbl,,,Gandhi-like
Emerzonland,Togarius,,9k active personnel,0 ships,Finest of the 19th century,1 factory,Undisciplined Rabble,last online 11 hours ago,rankings.php?subregion=atl,,$1254 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,16500 km 2,http://blocgame.com/stats.php?id=61204,,,,Gandhi-like
Kazushima,Kazuya,http://blocgame.com/alliancestats.php?allianceid=1952,40k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 25 hours ago,rankings.php?subregion=chi,The Eastern Sea,$1249 million,alliancestats.php?allianceid=1952,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=61346,41 Mbbl,,,Gandhi-like
Samosa,Jewboy,http://blocgame.com/alliancestats.php?allianceid=1595,23k active personnel,0 ships,Second World War surplus,None,Poor,last online 140 hours ago,rankings.php?subregion=ara,The High Council,$1246 million,alliancestats.php?allianceid=1595,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,20182 km 2,http://blocgame.com/stats.php?id=59258,,,,Questionable
Aasyria,David al-Assad,http://blocgame.com/alliancestats.php?allianceid=1958,15k active personnel,2 ships,Second World War surplus,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=per,SCPJ,$1246 million,alliancestats.php?allianceid=1958,Persia,Near Depletion,Meagre,http://blocgame.com/rankings.php?subregion=per,18931 km 2,http://blocgame.com/stats.php?id=60967,2054 Mbbl,,,Good
Ashennia,Xtersin,,10k active personnel,0 ships,Second World War surplus,1 factory,Poor,last online 191 hours ago,rankings.php?subregion=pac,,$1241 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,10555 km 2,http://blocgame.com/stats.php?id=60581,52 Mbbl,,,Gandhi-like
coppercreepers,jack102,http://blocgame.com/alliancestats.php?allianceid=1595,22k active personnel,0 ships,Second World War surplus,1 factory,Standard,last online 3 hours ago,rankings.php?subregion=pac,The High Council,$1234 million,alliancestats.php?allianceid=1595,Pacific Rim,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=pac,20100 km 2,http://blocgame.com/stats.php?id=61163,281 Mbbl,,,Gandhi-like
Shining Sun,Wladyslaw Gomulka,http://blocgame.com/alliancestats.php?allianceid=1966,44k active personnel,0 ships,First World War surplus,2 factories,Elite,online now,rankings.php?subregion=saf,Lithuanian Coalition,$1230 million,alliancestats.php?allianceid=1966,Southern Africa,Untapped,Small,http://blocgame.com/rankings.php?subregion=saf,34883 km 2,http://blocgame.com/stats.php?id=61511,313 Mbbl,,,Gandhi-like
Inferia,Alexkovisk,http://blocgame.com/alliancestats.php?allianceid=1932,15k active personnel,0 ships,First World War surplus,1 factory,Elite,online now,rankings.php?subregion=egy,African Socialism,$1229 million,alliancestats.php?allianceid=1932,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,12605 km 2,http://blocgame.com/stats.php?id=60789,,,,Nice
Tok Jembal,Lady H,http://blocgame.com/alliancestats.php?allianceid=1595,19k active personnel,0 ships,Second World War surplus,1 factory,Elite,last online 6 hours ago,rankings.php?subregion=ara,The High Council,$1222 million,alliancestats.php?allianceid=1595,Arabia,Near Depletion,Mediocre,http://blocgame.com/rankings.php?subregion=ara,18961 km 2,http://blocgame.com/stats.php?id=60840,2798 Mbbl,,,Gandhi-like
lompoianz,lompoi malaya,http://blocgame.com/alliancestats.php?allianceid=1899,92k active personnel,5 ships,Second World War surplus,4 factories,Elite,last online 5 hours ago,rankings.php?subregion=ind,Aseang MMP,$1214 million,alliancestats.php?allianceid=1899,East Indies,Near Depletion,Mediocre,http://blocgame.com/rankings.php?subregion=ind,31692 km 2,http://blocgame.com/stats.php?id=60500,,,,Gandhi-like
Baghdad Iraqi,As-Shaheed Saddam Hussein,http://blocgame.com/alliancestats.php?allianceid=1595,34k active personnel,0 ships,First World War surplus,3 factories,Elite,last online 11 hours ago,rankings.php?subregion=mes,The High Council,$1214 million,alliancestats.php?allianceid=1595,Mesopotamia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=mes,19625 km 2,http://blocgame.com/stats.php?id=61172,6883 Mbbl,,,Gandhi-like
Senandung Malam,Lela Manja,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,1 ships,Second World War surplus,3 factories,Good,last online 5 hours ago,rankings.php?subregion=ind,Aseang MMP,$1211 million,alliancestats.php?allianceid=1899,East Indies,,Somewhat Large,http://blocgame.com/rankings.php?subregion=ind,12045 km 2,http://blocgame.com/stats.php?id=61074,,,,Gandhi-like
Best Thougestan,Number1SUS,http://blocgame.com/alliancestats.php?allianceid=1401,35k active personnel,0 ships,Second World War surplus,2 factories,Good,last online 9 hours ago,rankings.php?subregion=car,The Federal Colonies,$1209 million,alliancestats.php?allianceid=1401,Caribbean,Near Depletion,None,http://blocgame.com/rankings.php?subregion=car,25820 km 2,http://blocgame.com/stats.php?id=61250,,,,Gandhi-like
NEMOSFLUFFY,NEMOISFLUFFY,http://blocgame.com/alliancestats.php?allianceid=1644,96k active personnel,2 ships,Second World War surplus,2 factories,Standard,last online 64 hours ago,rankings.php?subregion=pac,Inter/pol/,$1201 million,alliancestats.php?allianceid=1644,Pacific Rim,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=pac,13210 km 2,http://blocgame.com/stats.php?id=59908,,,,Gandhi-like
Pahang Power,Kerol,http://blocgame.com/alliancestats.php?allianceid=1899,106k active personnel,3 ships,Second World War surplus,3 factories,Elite,last online 7 hours ago,rankings.php?subregion=ind,Aseang MMP,$1197 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Large,http://blocgame.com/rankings.php?subregion=ind,32171 km 2,http://blocgame.com/stats.php?id=60578,,,,Good
Failures,ARSENAL,http://blocgame.com/alliancestats.php?allianceid=1580,115k active personnel,3 ships,Second World War surplus,4 factories,Elite,last online 35 hours ago,rankings.php?subregion=egy,Brotherhood of Nod,$1185 million,alliancestats.php?allianceid=1580,Egypt,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=egy,24200 km 2,http://blocgame.com/stats.php?id=59747,7127 Mbbl,,,Gandhi-like
malthias,mikkoku,,7k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 191 hours ago,rankings.php?subregion=pac,,$1178 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,3652 km 2,http://blocgame.com/stats.php?id=59201,,,,Normal
U.I.O.W,Spazjohnson12,,6k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 1 hours ago,rankings.php?subregion=car,,$1178 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,16335 km 2,http://blocgame.com/stats.php?id=61134,,,,Pariah
Japanesia,Egor Kruglov,http://blocgame.com/alliancestats.php?allianceid=1595,25k active personnel,0 ships,Second World War surplus,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=pac,The High Council,$1158 million,alliancestats.php?allianceid=1595,Pacific Rim,Near Depletion,Large,http://blocgame.com/rankings.php?subregion=pac,15075 km 2,http://blocgame.com/stats.php?id=61097,32 Mbbl,,,Gandhi-like
Fiddle Dogs,Kazuhira Hamburger,,86k active personnel,7 ships,Korean War surplus,2 factories,Standard,last online 47 hours ago,rankings.php?subregion=ara,,$1156 million,,Arabia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,31230 km 2,http://blocgame.com/stats.php?id=59470,,,,Gandhi-like
Bolshevikistan,S.D.Plessken,http://blocgame.com/alliancestats.php?allianceid=1932,9k active personnel,0 ships,Second World War surplus,1 factory,Undisciplined Rabble,last online 60 hours ago,rankings.php?subregion=congo,African Socialism,$1155 million,alliancestats.php?allianceid=1932,Congo,,None,http://blocgame.com/rankings.php?subregion=congo,8542 km 2,http://blocgame.com/stats.php?id=60189,138 Mbbl,,,Normal
crocodile,Quadkencheng,http://blocgame.com/alliancestats.php?allianceid=1568,146k active personnel,2 ships,First World War surplus,4 factories,Elite,last online 9 hours ago,rankings.php?subregion=ind,Brotherhood of Zion,$1155 million,alliancestats.php?allianceid=1568,East Indies,Untapped,Large,http://blocgame.com/rankings.php?subregion=ind,26772 km 2,http://blocgame.com/stats.php?id=60403,,,,Gandhi-like
Iramerica,general_pooya,http://blocgame.com/alliancestats.php?allianceid=1952,2k active personnel,1 ships,Second World War surplus,2 factories,Elite,last online 6 hours ago,rankings.php?subregion=per,The Eastern Sea,$1151 million,alliancestats.php?allianceid=1952,Persia,,Small,http://blocgame.com/rankings.php?subregion=per,5887 km 2,http://blocgame.com/stats.php?id=59804,4591 Mbbl,,,Questionable
Axestorm,fistmydick,http://blocgame.com/alliancestats.php?allianceid=1595,20k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 25 hours ago,rankings.php?subregion=car,The High Council,$1149 million,alliancestats.php?allianceid=1595,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=61841,,,,Angelic
DZ Djeich,StratoDZ,http://blocgame.com/alliancestats.php?allianceid=1952,18k active personnel,0 ships,First World War surplus,1 factory,Good,last online 4 hours ago,rankings.php?subregion=atl,The Eastern Sea,$1143 million,alliancestats.php?allianceid=1952,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,16172 km 2,http://blocgame.com/stats.php?id=61408,6822 Mbbl,,,Gandhi-like
XDXDXD,MalaysianMaster,http://blocgame.com/alliancestats.php?allianceid=1568,35k active personnel,3 ships,First World War surplus,2 factories,Elite,last online 2 hours ago,rankings.php?subregion=mes,Brotherhood of Zion,$1135 million,alliancestats.php?allianceid=1568,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,24735 km 2,http://blocgame.com/stats.php?id=61521,14100 Mbbl,,,Nice
Hajoki,Makao,,7k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 147 hours ago,rankings.php?subregion=atl,,$1132 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,11120 km 2,http://blocgame.com/stats.php?id=60093,,,,Gandhi-like
Beluncas War,RamaRama,,52k active personnel,1 ships,First World War surplus,4 factories,Good,last online 29 hours ago,rankings.php?subregion=pac,,$1129 million,,Pacific Rim,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=pac,26289 km 2,http://blocgame.com/stats.php?id=61487,,,,Gandhi-like
Ur,Abraham,http://blocgame.com/alliancestats.php?allianceid=1595,95k active personnel,4 ships,Second World War surplus,5 factories,Elite,last online 11 hours ago,rankings.php?subregion=mes,The High Council,$1106 million,alliancestats.php?allianceid=1595,Mesopotamia,Plentiful,Powerful,http://blocgame.com/rankings.php?subregion=mes,33229 km 2,http://blocgame.com/stats.php?id=61356,9297 Mbbl,,,Good
Cinque,Makarov,http://blocgame.com/alliancestats.php?allianceid=1899,123k active personnel,5 ships,Second World War surplus,3 factories,Standard,last online 11 hours ago,rankings.php?subregion=ind,Aseang MMP,$1102 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Large,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60884,,,,Gandhi-like
Junta,Torralva,http://blocgame.com/alliancestats.php?allianceid=1595,42k active personnel,0 ships,Second World War surplus,1 factory,Elite,online now,rankings.php?subregion=chi,The High Council,$1091 million,alliancestats.php?allianceid=1595,China,,Meagre,http://blocgame.com/rankings.php?subregion=chi,18830 km 2,http://blocgame.com/stats.php?id=61430,365 Mbbl,,,Questionable
Bellegarde,Imperial96,http://blocgame.com/alliancestats.php?allianceid=1949,2k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 174 hours ago,rankings.php?subregion=ara,Spectre,$1088 million,alliancestats.php?allianceid=1949,Arabia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ara,15702 km 2,http://blocgame.com/stats.php?id=61227,3039 Mbbl,,,Gandhi-like
FuchukFakhu,KondaKondi,,12k active personnel,0 ships,First World War surplus,3 factories,Standard,last online 8 hours ago,rankings.php?subregion=saf,,$1088 million,,Southern Africa,Depleted,Mediocre,http://blocgame.com/rankings.php?subregion=saf,24441 km 2,http://blocgame.com/stats.php?id=61483,207 Mbbl,,,Gandhi-like
Alohaha,Jakeirt,,8k active personnel,0 ships,First World War surplus,None,Undisciplined Rabble,last online 74 hours ago,rankings.php?subregion=congo,,$1087 million,,Congo,Untapped,None,http://blocgame.com/rankings.php?subregion=congo,7722 km 2,http://blocgame.com/stats.php?id=57669,,,,Normal
ZESI,alessandroro,http://blocgame.com/alliancestats.php?allianceid=1932,90k active personnel,5 ships,Second World War surplus,2 factories,Elite,last online 24 hours ago,rankings.php?subregion=eaf,African Socialism,$1085 million,alliancestats.php?allianceid=1932,East Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,18668 km 2,http://blocgame.com/stats.php?id=60288,297 Mbbl,,,Gandhi-like
Mogudishu,Hussain Mohammed Dahir,http://blocgame.com/alliancestats.php?allianceid=1644,9k active personnel,0 ships,Second World War surplus,1 factory,Elite,last online 114 hours ago,rankings.php?subregion=eaf,Inter/pol/,$1080 million,alliancestats.php?allianceid=1644,East Africa,Plentiful,None,http://blocgame.com/rankings.php?subregion=eaf,11911 km 2,http://blocgame.com/stats.php?id=60493,,,,Angelic
sophisticates,murtazatahir,,8k active personnel,0 ships,Second World War surplus,None,Elite,last online 38 hours ago,rankings.php?subregion=sub,,$1080 million,,The Subcontinent,Untapped,Small,http://blocgame.com/rankings.php?subregion=sub,13750 km 2,http://blocgame.com/stats.php?id=61182,,,,Nice
Sithis,Titus the Second,http://blocgame.com/alliancestats.php?allianceid=1595,36k active personnel,0 ships,First World War surplus,None,Elite,last online 7 hours ago,rankings.php?subregion=gra,The High Council,$1066 million,alliancestats.php?allianceid=1595,Gran Colombia,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=gra,26730 km 2,http://blocgame.com/stats.php?id=61465,91 Mbbl,,,Gandhi-like
Nusa Zenith,Zentarou,http://blocgame.com/alliancestats.php?allianceid=1595,71k active personnel,0 ships,Korean War surplus,1 factory,Standard,last online 8 hours ago,rankings.php?subregion=ind,The High Council,$1043 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60658,630 Mbbl,,,Gandhi-like
Caucasia,Vasya,http://blocgame.com/alliancestats.php?allianceid=1580,38k active personnel,3 ships,Second World War surplus,2 factories,Good,last online 6 hours ago,rankings.php?subregion=per,Brotherhood of Nod,$1042 million,alliancestats.php?allianceid=1580,Persia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=per,20170 km 2,http://blocgame.com/stats.php?id=61029,1076 Mbbl,,,Gandhi-like
North Portugal,Juan of Walmart,,58k active personnel,1 ships,Second World War surplus,2 factories,Poor,last online 138 hours ago,rankings.php?subregion=egy,,$1041 million,,Egypt,,Mediocre,http://blocgame.com/rankings.php?subregion=egy,8500 km 2,http://blocgame.com/stats.php?id=52418,4821 Mbbl,,,Gandhi-like
Lewd Place,Cute Girl,http://blocgame.com/alliancestats.php?allianceid=1966,58k active personnel,1 ships,Finest of the 19th century,2 factories,Elite,online now,rankings.php?subregion=car,Lithuanian Coalition,$1038 million,alliancestats.php?allianceid=1966,Caribbean,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=car,35009 km 2,http://blocgame.com/stats.php?id=61620,,,,Nice
Kergia,Haidir Hasim,,6k active personnel,0 ships,First World War surplus,None,Elite,last online 160 hours ago,rankings.php?subregion=ara,,$1035 million,,Arabia,,Large,http://blocgame.com/rankings.php?subregion=ara,12690 km 2,http://blocgame.com/stats.php?id=60940,7381 Mbbl,,,Gandhi-like
ADAMLAND,adamharez,http://blocgame.com/alliancestats.php?allianceid=1580,19k active personnel,2 ships,First World War surplus,2 factories,Standard,last online 1 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,$1031 million,alliancestats.php?allianceid=1580,Arabia,Depleted,Small,http://blocgame.com/rankings.php?subregion=ara,17101 km 2,http://blocgame.com/stats.php?id=60764,,,,Nice
Hephaestus,Saints,http://blocgame.com/alliancestats.php?allianceid=1393,96k active personnel,0 ships,Second World War surplus,1 factory,Standard,last online 38 hours ago,rankings.php?subregion=gui,BAMF,$1029 million,alliancestats.php?allianceid=1393,Guinea,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=gui,15535 km 2,http://blocgame.com/stats.php?id=60310,,,,Gandhi-like
PenagaActual,DonDeLaHoya,http://blocgame.com/alliancestats.php?allianceid=1899,153k active personnel,2 ships,Korean War surplus,5 factories,Undisciplined Rabble,online now,rankings.php?subregion=ind,Aseang MMP,$1028 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,32423 km 2,http://blocgame.com/stats.php?id=60730,469 Mbbl,,,Gandhi-like
boco grande,atheistpreacher,,32k active personnel,0 ships,First World War surplus,None,Poor,last online 112 hours ago,rankings.php?subregion=gra,,$1021 million,,Gran Colombia,Untapped,Small,http://blocgame.com/rankings.php?subregion=gra,20000 km 2,http://blocgame.com/stats.php?id=41740,,1 Tons,,Gandhi-like
sars,karjasohk,http://blocgame.com/alliancestats.php?allianceid=1401,154k active personnel,1 ships,Second World War surplus,5 factories,Standard,last online 24 hours ago,rankings.php?subregion=egy,The Federal Colonies,$1017 million,alliancestats.php?allianceid=1401,Egypt,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,34656 km 2,http://blocgame.com/stats.php?id=60258,7197 Mbbl,,,Gandhi-like
cwikyssia,thatguy,http://blocgame.com/alliancestats.php?allianceid=1933,5k active personnel,0 ships,Second World War surplus,None,Standard,last online 72 hours ago,rankings.php?subregion=chi,democracy,$994 million,alliancestats.php?allianceid=1933,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,14339 km 2,http://blocgame.com/stats.php?id=60999,,,,Gandhi-like
Jam & Slam,CharlieBarkley,http://blocgame.com/alliancestats.php?allianceid=1595,118k active personnel,2 ships,Korean War surplus,3 factories,Good,last online 3 hours ago,rankings.php?subregion=ara,The High Council,$990 million,alliancestats.php?allianceid=1595,Arabia,,Mediocre,http://blocgame.com/rankings.php?subregion=ara,31594 km 2,http://blocgame.com/stats.php?id=60942,,,,Gandhi-like
ToGlory,Bagelbeater,http://blocgame.com/alliancestats.php?allianceid=1952,6k active personnel,0 ships,First World War surplus,None,Poor,last online 72 hours ago,rankings.php?subregion=pac,The Eastern Sea,$984 million,alliancestats.php?allianceid=1952,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,6377 km 2,http://blocgame.com/stats.php?id=60404,,,,Questionable
Barx,xkingbarx,http://blocgame.com/alliancestats.php?allianceid=1899,78k active personnel,4 ships,Second World War surplus,2 factories,Elite,last online 7 hours ago,rankings.php?subregion=ara,Aseang MMP,$969 million,alliancestats.php?allianceid=1899,Arabia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ara,19003 km 2,http://blocgame.com/stats.php?id=60420,,,,Normal
Tunjai,General Admiral TUNJAI,,6k active personnel,2 ships,First World War surplus,2 factories,Elite,last online 9 hours ago,rankings.php?subregion=ind,,$960 million,,East Indies,,None,http://blocgame.com/rankings.php?subregion=ind,16335 km 2,http://blocgame.com/stats.php?id=61266,72 Mbbl,,,Angelic
Lain,Red Terror,http://blocgame.com/alliancestats.php?allianceid=1393,281k active personnel,18 ships,Advanced,6 factories,Undisciplined Rabble,last online 8 hours ago,rankings.php?subregion=egy,BAMF,$952 million,alliancestats.php?allianceid=1393,Egypt,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=egy,55667 km 2,http://blocgame.com/stats.php?id=54938,1205 Mbbl,,,Gandhi-like
Jeoson Korea,Jwong-wal il,http://blocgame.com/alliancestats.php?allianceid=1595,27k active personnel,0 ships,First World War surplus,None,Good,last online 3 hours ago,rankings.php?subregion=chi,The High Council,$950 million,alliancestats.php?allianceid=1595,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,19700 km 2,http://blocgame.com/stats.php?id=61438,,,,Gandhi-like
San-t�iao,Ching Shih,http://blocgame.com/alliancestats.php?allianceid=1418,112k active personnel,23 ships,Second World War surplus,6 factories,Standard,last online 31 hours ago,rankings.php?subregion=pac,Asian Alliance,$942 million,alliancestats.php?allianceid=1418,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,72658 km 2,http://blocgame.com/stats.php?id=60079,247 Mbbl,,,Gandhi-like
TollBayarDulu,Kunta Kintey,http://blocgame.com/alliancestats.php?allianceid=1899,323k active personnel,11 ships,Persian Gulf War surplus,14 factories,Poor,online now,rankings.php?subregion=ind,Aseang MMP,$934 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,68558 km 2,http://blocgame.com/stats.php?id=60787,,9 Tons,30%,Gandhi-like
Antoria,Gustavo Martins,,7k active personnel,0 ships,First World War surplus,None,Elite,last online 27 hours ago,rankings.php?subregion=gra,,$930 million,,Gran Colombia,,None,http://blocgame.com/rankings.php?subregion=gra,13270 km 2,http://blocgame.com/stats.php?id=61344,192 Mbbl,,,Mad Dog
awanghitam,awanghitam,http://blocgame.com/alliancestats.php?allianceid=1595,86k active personnel,0 ships,Second World War surplus,5 factories,Standard,last online 10 hours ago,rankings.php?subregion=ind,The High Council,$921 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=ind,19049 km 2,http://blocgame.com/stats.php?id=60739,,,,Gandhi-like
Pudzians,XDDDDDDXDDD,http://blocgame.com/alliancestats.php?allianceid=1966,25k active personnel,0 ships,First World War surplus,1 factory,Good,last online 29 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,$920 million,alliancestats.php?allianceid=1966,Southern Africa,Untapped,Small,http://blocgame.com/rankings.php?subregion=saf,23828 km 2,http://blocgame.com/stats.php?id=61595,,,,Gandhi-like
Jemuan Setan,Mappo,,8k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 75 hours ago,rankings.php?subregion=ind,,$909 million,,East Indies,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=ind,13410 km 2,http://blocgame.com/stats.php?id=61058,,,,Gandhi-like
Casteldaccia,andreacalo29,,49k active personnel,0 ships,Second World War surplus,1 factory,Good,last online 1 hours ago,rankings.php?subregion=egy,,$902 million,,Egypt,,Mediocre,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=61373,7750 Mbbl,,,Gandhi-like
Gutium,pavel92,http://blocgame.com/alliancestats.php?allianceid=1595,39k active personnel,0 ships,Second World War surplus,1 factory,Standard,last online 4 hours ago,rankings.php?subregion=mes,The High Council,$902 million,alliancestats.php?allianceid=1595,Mesopotamia,Untapped,Large,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=61435,,,,Gandhi-like
reggie le edgy,Floy_Roy,,9k active personnel,0 ships,First World War surplus,1 factory,Good,last online 169 hours ago,rankings.php?subregion=mes,,$900 million,,Mesopotamia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=mes,13209 km 2,http://blocgame.com/stats.php?id=61522,1533 Mbbl,,,Gandhi-like
Puncak Alam,Abg Ami,,3k active personnel,0 ships,Second World War surplus,1 factory,Undisciplined Rabble,last online 143 hours ago,rankings.php?subregion=sea,,$895 million,,Indochina,Untapped,Small,http://blocgame.com/rankings.php?subregion=sea,14593 km 2,http://blocgame.com/stats.php?id=60373,,,,Questionable
Kataphrakt,JuuzouXIII,http://blocgame.com/alliancestats.php?allianceid=1580,36k active personnel,0 ships,First World War surplus,None,Elite,last online 11 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$883 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,21038 km 2,http://blocgame.com/stats.php?id=61246,46 Mbbl,,,Gandhi-like
siput sedut,Mr. President Aizat,http://blocgame.com/alliancestats.php?allianceid=1899,125k active personnel,15 ships,Second World War surplus,4 factories,Good,last online 2 hours ago,rankings.php?subregion=ind,Aseang MMP,$875 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,31882 km 2,http://blocgame.com/stats.php?id=60552,344 Mbbl,,,Gandhi-like
PACUKA,PACIKIS,http://blocgame.com/alliancestats.php?allianceid=1595,53k active personnel,1 ships,Second World War surplus,2 factories,Undisciplined Rabble,last online 3 hours ago,rankings.php?subregion=ara,The High Council,$875 million,alliancestats.php?allianceid=1595,Arabia,Near Depletion,Large,http://blocgame.com/rankings.php?subregion=ara,26487 km 2,http://blocgame.com/stats.php?id=61490,,,,Gandhi-like
Thair,Tacoonastick,,42k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 45 hours ago,rankings.php?subregion=congo,,$873 million,,Congo,,None,http://blocgame.com/rankings.php?subregion=congo,10899 km 2,http://blocgame.com/stats.php?id=60955,,,,Gandhi-like
Galilee,lover of joy,,3k active personnel,3 ships,Korean War surplus,2 factories,Standard,last online 33 hours ago,rankings.php?subregion=mex,,$866 million,,Mesoamerica,Untapped,None,http://blocgame.com/rankings.php?subregion=mex,7451 km 2,http://blocgame.com/stats.php?id=58944,,,,Questionable
Sillot,Come Pienso,http://blocgame.com/alliancestats.php?allianceid=1595,23k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 1 hours ago,rankings.php?subregion=ara,The High Council,$866 million,alliancestats.php?allianceid=1595,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,16937 km 2,http://blocgame.com/stats.php?id=61621,,,,Gandhi-like
Orgonity,Sta�y S�uchacz,http://blocgame.com/alliancestats.php?allianceid=1966,53k active personnel,0 ships,First World War surplus,2 factories,Elite,last online 3 hours ago,rankings.php?subregion=ama,Lithuanian Coalition,$859 million,alliancestats.php?allianceid=1966,Amazonia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ama,30664 km 2,http://blocgame.com/stats.php?id=61861,,,,Normal
Kelvenia,Lance Adams,,8k active personnel,0 ships,First World War surplus,1 factory,Poor,last online 68 hours ago,rankings.php?subregion=ama,,$856 million,,Amazonia,Untapped,None,http://blocgame.com/rankings.php?subregion=ama,13343 km 2,http://blocgame.com/stats.php?id=61410,,,,Gandhi-like
Kowno,Wilikajło,http://blocgame.com/alliancestats.php?allianceid=1966,39k active personnel,0 ships,First World War surplus,1 factory,Good,last online 3 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,$856 million,alliancestats.php?allianceid=1966,Southern Africa,Untapped,Large,http://blocgame.com/rankings.php?subregion=saf,29472 km 2,http://blocgame.com/stats.php?id=61635,,,,Normal
Nurnia,Sen. James Lonsdale,,23k active personnel,0 ships,First World War surplus,None,Undisciplined Rabble,last online 69 hours ago,rankings.php?subregion=pac,,$838 million,,Pacific Rim,Plentiful,None,http://blocgame.com/rankings.php?subregion=pac,5336 km 2,http://blocgame.com/stats.php?id=59956,,,,Questionable
